text,Publication Date,sentiment_scores,sentiment
Revealed: the secret algorithm that controls the lives of Serco’s immigration detainees,2024-03-12T19:00:00Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Immigration minister Andrew Giles seeking ‘urgent advice’ about re-cancelling visa of man accused of murder,2024-05-23T07:13:51Z,"{'neg': 0.347, 'neu': 0.653, 'pos': 0.000, 'compound': -0.7845}",negative
Dan Tehan condemns ‘big Australia’ policy but won’t reveal Coalition’s immigration plan,2024-03-03T02:30:59Z,"{'neg': 0.163, 'neu': 0.837, 'pos': 0.000, 'compound': -0.2846}",negative
News Corp quotes anti-immigration TikToker but fails to reveal ex-One Nation MP adviser role ,2024-05-04T00:00:27Z,"{'neg': 0.222, 'neu': 0.778, 'pos': 0.000, 'compound': -0.5719}",negative
 Labor’s ‘draconian’ immigration detention conditions challenged in high court ,2023-11-22T06:45:07Z,"{'neg': 0.358, 'neu': 0.642, 'pos': 0.000, 'compound': -0.4404}",negative
Freed immigration detainee sues Australian government for damages for alleged false imprisonment,2024-01-15T14:00:32Z,"{'neg': 0.186, 'neu': 0.641, 'pos': 0.173, 'compound': -0.0516}",negative
More than 170 immigration detainees could be freed if Australian government loses high court challenge,2024-03-19T14:00:39Z,"{'neg': 0.126, 'neu': 0.656, 'pos': 0.219, 'compound': 0.1779}",negative
Hundreds more immigration detainees could be released in sequel to NZYQ high court ruling,2024-02-15T14:00:18Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Andrew Giles faces years of litigation as he fights to prevent another disastrous defeat on immigration | Paul Karp,2024-03-31T14:00:42Z,"{'neg': 0.430, 'neu': 0.528, 'pos': 0.042, 'compound': -0.8834}",negative
"Australia’s immigration spike not necessarily driving up housing prices, experts say",2023-12-11T14:00:38Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Fifth immigration detainee arrested after release due to high court ruling,2023-12-07T03:48:26Z,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.000, 'compound': -0.4767}",negative
Sixth former immigration detainee arrested in Melbourne for allegedly breaking curfew,2023-12-09T01:51:42Z,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.000, 'compound': -0.4767}",negative
Peter Dutton doubles down on immigration attacks despite Victoria police clearing detainee of assault charges,2024-03-01T03:28:51Z,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.000, 'compound': -0.8316}",negative
Two immigration detainees charged after release due to high court ruling,2023-12-04T08:35:14Z,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.000, 'compound': -0.2023}",negative
‘Missing’ man who left immigration detention without electronic monitoring is located,2023-11-29T07:25:31Z,"{'neg': 0.200, 'neu': 0.800, 'pos': 0.000, 'compound': -0.3612}",negative
Seven of the immigration detainees released in Australia were convicted of murder or attempted murder,2024-02-12T06:30:11Z,"{'neg': 0.420, 'neu': 0.580, 'pos': 0.000, 'compound': -0.8860}",negative
Immigration detention explainer: how is Labor responding to the landmark high court ruling? ,2023-11-16T00:59:45Z,"{'neg': 0.169, 'neu': 0.743, 'pos': 0.088, 'compound': -0.2960}",negative
Clare O’Neil claims she relied on verbal briefings only for prediction of high court immigration detention win,2024-03-20T22:30:13Z,"{'neg': 0.117, 'neu': 0.704, 'pos': 0.178, 'compound': 0.3182}",negative
Fourth former immigration detainee charged after release due to high court ruling,2023-12-06T06:43:01Z,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.000, 'compound': -0.2023}",negative
Labor’s preventive detention regime passes Senate as third freed immigration detainee arrested ,2023-12-05T08:00:12Z,"{'neg': 0.324, 'neu': 0.520, 'pos': 0.156, 'compound': -0.4404}",negative
 Australia to immediately begin releasing people held in indefinite immigration detention,2023-11-09T20:40:38Z,"{'neg': 0.200, 'neu': 0.800, 'pos': 0.000, 'compound': -0.3612}",negative
Youth curfew announced in Alice Springs; Labor’s ‘urgent’ immigration bill delayed; and the veggie chip taste test,2024-03-27T05:51:57Z,"{'neg': 0.106, 'neu': 0.894, 'pos': 0.000, 'compound': -0.2263}",negative
Malaysian hitman released from Australian immigration detention after high court ruling,2023-11-12T02:26:44Z,"{'neg': 0.200, 'neu': 0.800, 'pos': 0.000, 'compound': -0.3612}",negative
Indefinite immigration detention ruled unlawful in landmark Australian high court decision ,2023-11-08T07:50:42Z,"{'neg': 0.195, 'neu': 0.703, 'pos': 0.102, 'compound': -0.2960}",negative
Labor’s emergency laws after immigration detention ruling may amount to ‘extrajudicial’ punishment,2023-11-17T14:00:13Z,"{'neg': 0.480, 'neu': 0.520, 'pos': 0.000, 'compound': -0.8074}",negative
Immigration detention: Labor to rush through emergency legislation after high court ruling,2023-11-15T04:46:32Z,"{'neg': 0.338, 'neu': 0.662, 'pos': 0.000, 'compound': -0.6249}",negative
Labor blames Peter Dutton’s decisions as immigration minister for ‘mess’ of indefinite detention ,2023-11-29T06:14:02Z,"{'neg': 0.321, 'neu': 0.679, 'pos': 0.000, 'compound': -0.6369}",negative
Australia’s system of indefinite immigration detention to face high court challenge,2023-10-03T23:00:26Z,"{'neg': 0.195, 'neu': 0.703, 'pos': 0.102, 'compound': -0.2960}",negative
Eighty people already freed from Australia’s immigration detention since landmark high court ruling,2023-11-12T22:17:36Z,"{'neg': 0.152, 'neu': 0.606, 'pos': 0.242, 'compound': 0.1280}",negative
Australia releases stateless man on ‘strict conditions’ after indefinite immigration detention ruled unlawful ,2023-11-09T04:10:29Z,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.000, 'compound': -0.3612}",negative
Labor to enact ‘preventive detention’ regime after high court reveals reasons for immigration ruling,2023-11-28T04:23:08Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Immigration detention: Rohingya refugee NZYQ given sex offender counselling sessions in ‘very special deal’,2023-11-24T14:00:22Z,"{'neg': 0.267, 'neu': 0.588, 'pos': 0.144, 'compound': -0.3182}",negative
Peter Dutton demands immigration minister Andrew Giles resign as another person released from detention,2023-11-30T06:01:41Z,"{'neg': 0.290, 'neu': 0.710, 'pos': 0.000, 'compound': -0.5994}",negative
Immigration minister released friend of Bob Hawke from detention on visa that did not include ankle bracelet or curfew,2024-02-27T14:00:01Z,"{'neg': 0.110, 'neu': 0.749, 'pos': 0.141, 'compound': 0.1779}",negative
Immigration minister lifts ankle bracelet and curfew conditions for two ex-detainees suing Australian government,2023-12-14T14:00:02Z,"{'neg': 0.139, 'neu': 0.861, 'pos': 0.000, 'compound': -0.2732}",negative
"‘None’ of 81 people released from immigration detention arrived during Albanese government, Labor says",2023-11-14T06:53:02Z,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.000, 'compound': -0.3612}",negative
"Ankle bracelets, curfews and criminal penalties in Labor response to release of immigration detainees",2023-11-15T16:50:46Z,"{'neg': 0.207, 'neu': 0.793, 'pos': 0.000, 'compound': -0.5267}",negative
Documents reveal details about the 92 people facing release from indefinite immigration detention in Australia,2023-11-10T02:53:46Z,"{'neg': 0.152, 'neu': 0.848, 'pos': 0.000, 'compound': -0.3612}",negative
Andrew Giles issues new rules for visa cancellations that make community safety ‘highest priority’,2024-06-07T06:44:22Z,"{'neg': 0.000, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}",neutral
Dutton push for ‘migration zones’ for people released from immigration detention rejected as ‘stuff of tyranny’,2023-11-17T03:31:44Z,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.000, 'compound': -0.7003}",negative
The week in parliament: things get ugly on immigration detention with political blood spilled on both sides | Amy Remeikis,2023-12-01T23:00:28Z,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.000, 'compound': -0.7003}",negative
I’ve been fighting Australia's mandatory immigration detention regime for decades – the high court’s decision is revolutionary | Mary Crock,2023-11-08T23:25:33Z,"{'neg': 0.215, 'neu': 0.730, 'pos': 0.056, 'compound': -0.5719}",negative
The pain for Labor on immigration detention is not over – especially if the Coalition and Greens team up | Paul Karp,2023-11-26T14:00:21Z,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.000, 'compound': -0.7003}",negative
Criminals facing deportation from Australia have had their visas restored. How did this happen and who is to blame?,2024-05-29T04:38:59Z,"{'neg': 0.249, 'neu': 0.653, 'pos': 0.098, 'compound': -0.5719}",negative
New Zealand tightens visa rules after migration hits ‘unsustainable’ levels,2024-04-08T05:58:43Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Coalition accused of sitting on warnings that immigration detention may have breached duty of care,2023-09-11T02:30:22Z,"{'neg': 0.327, 'neu': 0.521, 'pos': 0.152, 'compound': -0.4019}",negative
Afternoon Update: Record increase in net migration; PwC won’t share tax leaks report; and the hot cross buns taste test,2024-03-21T06:02:28Z,"{'neg': 0.000, 'neu': 0.800, 'pos': 0.200, 'compound': 0.5423}",neutral
Immigration detention: Rohingya refugee NZYQ freed after high court case did not show remorse for raping 10-year-old,2023-11-22T02:42:01Z,"{'neg': 0.294, 'neu': 0.524, 'pos': 0.182, 'compound': -0.5840}",negative
‘Sign here’: high court finds no requirement for minister to read submissions on visa decisions,2024-04-10T01:57:11Z,"{'neg': 0.136, 'neu': 0.864, 'pos': 0.000, 'compound': -0.2960}",negative
Home affairs under Peter Dutton was warned ‘failing’ immigration detention may have breached duty of care,2023-09-08T15:00:49Z,"{'neg': 0.221, 'neu': 0.625, 'pos': 0.154, 'compound': -0.1027}",negative
Australia’s use of hotels for immigration detention found to have ‘devastating’ health effects,2023-06-20T23:37:22Z,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.000, 'compound': -0.3612}",negative
"House prices will keep rising into next year, says Domain, as immigration boosts demand",2023-06-21T15:00:42Z,"{'neg': 0.095, 'neu': 0.759, 'pos': 0.146, 'compound': 0.2023}",neutral
"Change in visa rules was to apply in absence of ‘serious offending or family violence’, Andrew Giles was told",2024-05-27T15:00:28Z,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.000, 'compound': -0.5106}",negative
How immigration changed Australia – an interactive journey through history,2023-01-29T14:00:53Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Aneeta’s violent husband tried to sabotage her Australian visa application. She’s one of hundreds to secure one anyway,2024-07-07T00:00:51Z,"{'neg': 0.296, 'neu': 0.607, 'pos': 0.097, 'compound': -0.7096}",negative
Neo-Nazis clash with police and counter-protesters at anti-immigration rally in Melbourne,2023-05-13T06:22:35Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
New Zealanders to gain faster pathway to Australian citizenship under major changes to immigration rules,2023-04-21T12:30:40Z,"{'neg': 0.000, 'neu': 0.805, 'pos': 0.195, 'compound': 0.5267}",neutral
Strict new rules come into force at US-Mexico border as Title 42 immigration ban expires,2023-05-12T04:18:57Z,"{'neg': 0.205, 'neu': 0.795, 'pos': 0.000, 'compound': -0.5574}",negative
Top public servant apologises for ‘significant’ error in Australia’s offshore immigration processing,2023-02-13T08:11:03Z,"{'neg': 0.176, 'neu': 0.588, 'pos': 0.235, 'compound': -0.0258}",negative
Clare O’Neil won’t rule out international student cap as part of visa crackdown,2023-12-11T05:47:12Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
David Pocock blasts Albanese government as it reauthorises Nauru offshore immigration detention,2023-02-07T07:44:44Z,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.000, 'compound': -0.3612}",negative
"Why is Labor defending Alex Hawke’s ‘bizarre’, ‘steering wheel’ visa decision in the high court? | Paul Karp",2023-10-29T14:00:48Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Electronic monitoring in community could reduce immigration detention, document states",2022-11-21T14:00:23Z,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.000, 'compound': -0.3612}",negative
"The Crunch: migration hits record high, bird flu takes flight and kicking goals with AFL mullets",2024-05-30T01:56:14Z,"{'neg': 0.148, 'neu': 0.852, 'pos': 0.000, 'compound': -0.3818}",negative
Legal challenge to Australia’s indefinite immigration detention could determine freedom of hundreds ,2022-12-29T14:00:22Z,"{'neg': 0.143, 'neu': 0.457, 'pos': 0.400, 'compound': 0.5423}",negative
Labor condemned for ‘abhorrently cruel’ decision to put 100 people back in immigration detention,2023-02-08T14:00:20Z,"{'neg': 0.310, 'neu': 0.690, 'pos': 0.000, 'compound': -0.6597}",negative
Surge in Palestinians applying for protection while in Australia prompts calls to create ‘emergency uplift’ visa,2024-07-01T15:00:22Z,"{'neg': 0.000, 'neu': 0.877, 'pos': 0.123, 'compound': 0.2732}",neutral
"Immigration detainee not given new food because maggots ‘just on the vegetables’, report finds",2023-01-23T14:00:08Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Migration rose by one-third last year to lift Australia’s population by a record 659,000",2024-03-21T06:36:29Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Labor’s deportation bill could be used to blacklist entire countries’ citizens from obtaining visas to Australia,2024-03-27T14:00:27Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Refugee charged with breaching curfew launches high court challenge to released detainees’ visa conditions,2024-02-28T04:33:23Z,"{'neg': 0.119, 'neu': 0.795, 'pos': 0.086, 'compound': -0.1280}",negative
Living in a tent: the Melbourne family left homeless after a visa processing bungle,2024-06-01T20:00:14Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
‘All I know is Australia’: Indigenous man left in immigration detention for more than three years,2023-02-18T19:00:04Z,"{'neg': 0.143, 'neu': 0.857, 'pos': 0.000, 'compound': -0.3612}",negative
Up to 100 people released from immigration detention after Australian government loses court case,2022-12-28T14:00:53Z,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.000, 'compound': -0.5859}",negative
Labor reverses course on ministerial ruling that saw criminals given visas,2024-05-29T06:31:53Z,"{'neg': 0.270, 'neu': 0.730, 'pos': 0.000, 'compound': -0.5719}",negative
"Map reveals Australian hotels used for immigration detention, but secrecy means it’s incomplete",2022-12-01T14:00:49Z,"{'neg': 0.127, 'neu': 0.873, 'pos': 0.000, 'compound': -0.1901}",negative
‘Never given a chance’: freed asylum seekers lament lost decade in immigration detention,2022-11-20T14:00:28Z,"{'neg': 0.400, 'neu': 0.462, 'pos': 0.138, 'compound': -0.6249}",negative
"Australia loves prisons! Just ask the 1,400 people locked up in immigration detention | First Dog on the Moon",2022-10-24T06:13:20Z,"{'neg': 0.106, 'neu': 0.724, 'pos': 0.170, 'compound': 0.3595}",negative
Palestinians were refused Australian visitor visas due to concerns they would not ‘stay temporarily’,2024-04-16T02:18:05Z,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.000, 'compound': -0.2960}",negative
Peter Dutton talks a big game on migration – but do his budget reply promises stack up?,2024-05-17T04:59:53Z,"{'neg': 0.000, 'neu': 0.825, 'pos': 0.175, 'compound': 0.5267}",neutral
Afternoon Update: Australia to get a poet laureate; US police allegedly beat homeless man; and a smart immigration interactive,2023-01-30T05:26:36Z,"{'neg': 0.000, 'neu': 0.870, 'pos': 0.130, 'compound': 0.4019}",neutral
Hiking international student visa fees is on the table – but could it also pay your rent? | Paul Karp,2024-04-07T15:00:06Z,"{'neg': 0.078, 'neu': 0.922, 'pos': 0.000, 'compound': -0.1531}",negative
Refugee advocates ‘encouraged’ as Albanese government considers ways to reduce immigration detention backlog,2022-09-24T20:00:14Z,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.000, 'compound': -0.3612}",negative
‘They will never be granted the visa in their lifetime’: the families waiting decades to settle parents in Australia,2023-07-30T15:00:11Z,"{'neg': 0.088, 'neu': 0.912, 'pos': 0.000, 'compound': -0.1877}",negative
"High court may hear ‘bizarre’ immigration case involving Alex Hawke, a former marine and a steering wheel photo",2022-12-21T14:00:08Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Greens accuse Labor and Coalition of ‘race to the bottom’ over migration bill – as it happened,2023-12-05T07:04:49Z,"{'neg': 0.101, 'neu': 0.899, 'pos': 0.000, 'compound': -0.2023}",negative
The migration strategy won’t silence Dutton but Labor is backing away from the feared Big Australia | Paul Karp,2023-12-10T14:00:53Z,"{'neg': 0.192, 'neu': 0.757, 'pos': 0.051, 'compound': -0.6310}",negative
"Morning Mail: Morrison secret ministry ‘voids visa ruling’, high-speed rail abandoned, Lyon roars in India ",2023-03-02T19:56:03Z,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.000, 'compound': -0.4588}",negative
"Australian-born judge released from immigration detention in Kiribati, after being held overnight",2022-08-12T08:28:32Z,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.000, 'compound': -0.3612}",negative
PM questions migration attacks – as it happened,2023-05-15T08:40:03Z,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.000, 'compound': -0.4404}",negative
Visa system to be target of Labor crackdown after review uncovers ‘grotesque abuses’ ,2023-10-04T03:10:59Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Immigration minister says Nadesalingam family can stay in Biloela ‘with certainty’,2022-06-15T17:30:38Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Australia on track for 2023 migration boom as arrivals dwarf Treasury forecasts, ex-official says",2023-01-13T03:10:33Z,"{'neg': 0.000, 'neu': 0.878, 'pos': 0.122, 'compound': 0.2023}",neutral
"Only a matter of time before someone is killed in Australian immigration detention, detainees say",2022-09-03T20:00:27Z,"{'neg': 0.348, 'neu': 0.597, 'pos': 0.055, 'compound': -0.7845}",negative
"Labor hikes international student visa fees as sector warns of ‘death by 1,000 cuts’",2024-07-01T03:03:21Z,"{'neg': 0.097, 'neu': 0.903, 'pos': 0.000, 'compound': -0.1027}",negative
"‘No end to this’: six visas, six migration agents, four jobs in regional Australia and still no permanent residency",2023-04-02T15:00:24Z,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.000, 'compound': -0.2960}",negative
"The Nadesalingams are back in Biloela, but Australia’s unjust immigration system endures | Ben Doherty",2022-06-10T20:00:12Z,"{'neg': 0.241, 'neu': 0.759, 'pos': 0.000, 'compound': -0.6652}",negative
"Australia holding immigration detainees for average of almost two years, freedom of information request reveals",2022-08-01T10:37:11Z,"{'neg': 0.000, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6041}",neutral
Visitors to Australia could now lose their visa if they hide plant or animal products in luggage,2023-11-01T14:00:12Z,"{'neg': 0.227, 'neu': 0.773, 'pos': 0.000, 'compound': -0.5267}",negative
Immigration detainees transferred from Melbourne to Christmas Island amid heated protests,2022-05-04T07:15:08Z,"{'neg': 0.160, 'neu': 0.840, 'pos': 0.000, 'compound': -0.2263}",negative
Angus Taylor at odds with Dutton on migration targets in ‘shambolic’ post-budget appearance,2024-05-22T06:06:51Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
State Labor MPs call on Albanese government to expand visa access for Palestinian refugees,2024-04-16T21:00:01Z,"{'neg': 0.000, 'neu': 0.850, 'pos': 0.150, 'compound': 0.3182}",neutral
"When it comes to migration, we must separate fact from fiction – and be sceptical of political tough talk | Alan Gamlen",2024-05-20T02:55:50Z,"{'neg': 0.156, 'neu': 0.844, 'pos': 0.000, 'compound': -0.4019}",negative
Alexander Downer features in UK video promoting Britain’s ‘new plan for immigration’,2022-04-18T10:56:39Z,"{'neg': 0.000, 'neu': 0.815, 'pos': 0.185, 'compound': 0.3612}",neutral
Never mind the bollocks: Albanese’s non-gaffe on immigration was just media hysteria | Katharine Murphy,2022-04-15T01:58:16Z,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.000, 'compound': -0.4404}",negative
"Morning Mail: Labor reveals visa fix, politics at the Arias, India through to World Cup final",2023-11-15T20:02:33Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Hong Kong withholds British lawyer’s visa, delaying Jimmy Lai trial",2022-12-01T06:19:14Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Iranian refugee Mehdi Ali released after nine years in Australian immigration detention,2022-03-03T21:10:58Z,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.000, 'compound': -0.3612}",negative
"Three years after beating deportation, Indigenous Australians freed from visa limbo",2023-01-29T14:00:53Z,"{'neg': 0.204, 'neu': 0.612, 'pos': 0.184, 'compound': -0.0772}",negative
"Villawood, Australia’s largest immigration detention centre, said to be ‘awash with drugs’",2022-02-20T16:30:08Z,"{'neg': 0.185, 'neu': 0.815, 'pos': 0.000, 'compound': -0.3612}",negative
"Australia raises permanent migration cap to 195,000 to ease workforce shortages",2022-09-02T01:13:09Z,"{'neg': 0.122, 'neu': 0.687, 'pos': 0.191, 'compound': 0.2263}",negative
New Zealand loses appeal to rich foreigners as investor visa numbers plunge,2023-04-06T05:47:02Z,"{'neg': 0.145, 'neu': 0.629, 'pos': 0.226, 'compound': 0.3182}",negative
Novak Djokovic to face immigration officials after Australian visa cancelled again,2022-01-14T12:35:49Z,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.000, 'compound': -0.2500}",negative
"Migration has been blamed for the housing crisis, but it’s not that simple",2024-05-29T15:00:05Z,"{'neg': 0.295, 'neu': 0.705, 'pos': 0.000, 'compound': -0.5574}",negative
"Thousands of Australian visa decisions may be affected by high court ruling, experts warn",2023-04-13T15:00:48Z,"{'neg': 0.200, 'neu': 0.800, 'pos': 0.000, 'compound': -0.2500}",negative
"Asylum seekers, families allegedly threatened after Australian immigration data breach",2021-12-12T22:49:29Z,"{'neg': 0.250, 'neu': 0.750, 'pos': 0.000, 'compound': -0.4588}",negative
"Australia holding people in immigration detention for record 689 days on average, report finds",2022-02-16T00:49:34Z,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.000, 'compound': -0.3612}",negative
"Morning Mail: Dutton’s visa call, $100bn fossil fuel tax proposed, Kremlin adds to most wanted list",2024-02-13T19:57:31Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
"Morning Mail: Muslim leaders boycott state dinners, businessman visa case, Palmer claims anti-vaccine mandate ‘victory’",2024-02-27T19:57:06Z,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.000, 'compound': -0.3182}",negative
How Australia’s handling of Djokovic exposed its flawed immigration system to the world,2022-01-11T16:30:22Z,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.000, 'compound': -0.5267}",negative
International students left feeling like ‘cash cows’ after Albanese government raises visa fees,2024-07-06T20:00:48Z,"{'neg': 0.000, 'neu': 0.733, 'pos': 0.267, 'compound': 0.4588}",positive
‘It’s very unfair’: Australia’s visa crackdown is disrupting international students and hitting university finances,2024-05-05T02:00:03Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Relatives ‘surprised and shocked’ after 68-year-old Gaza woman’s Australian visa cancelled on security grounds,2024-04-25T15:00:27Z,"{'neg': 0.122, 'neu': 0.732, 'pos': 0.146, 'compound': 0.1027}",negative
"As we celebrate the permanent residency granted to Sydney’s ‘bollard man’, visa uncertainty looms over others | Shankar Kasynathan",2024-04-19T01:33:39Z,"{'neg': 0.162, 'neu': 0.607, 'pos': 0.231, 'compound': 0.4019}",negative
Coalition plan to privatise visa processing to be subject of new inquiry,2023-11-30T06:51:00Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
Australia to investigate how Palestinians crossed Gaza border after government suspends visas,2024-03-15T07:24:31Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
‘Power imbalance’: how Australia’s visa system leaves migrants beholden to their employers,2023-09-03T00:00:18Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
China and Australia agree to new multi-entry visa as Albanese touts improved relationship after thaw,2023-11-07T07:44:26Z,"{'neg': 0.059, 'neu': 0.642, 'pos': 0.299, 'compound': 0.6705}",neutral
Afternoon Update: PM says Coalition ‘just wrong’ on visas; ex-Ten presenter and partner missing; and can you remember these ‘best picture’ films?,2024-02-22T06:42:50Z,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.000, 'compound': -0.2960}",negative
"Morning Mail: Australia win thriller to reach World Cup final, Labor dissent over visa law, Optus outage outrage",2023-11-16T19:53:15Z,"{'neg': 0.140, 'neu': 0.593, 'pos': 0.267, 'compound': 0.2500}",negative
"Palestinians who had Australian visas cancelled mid-flight are ‘collateral damage’, charity group says",2024-03-15T14:00:37Z,"{'neg': 0.127, 'neu': 0.696, 'pos': 0.177, 'compound': 0.2023}",negative
Labor targets student and some worker visas in overhaul of Australia’s temporary migration program,2023-12-10T14:00:54Z,"{'neg': 0.000, 'neu': 1.000, 'pos': 0.000, 'compound': 0.0000}",neutral
